,stock_no,stock_name
0,0050,元大台灣50
1,0051,元大中型100
2,0052,富邦科技
3,0053,元大電子
4,0054,元大台商50
5,0055,元大MSCI金融
6,0056,元大高股息
7,0057,富邦摩台
8,0061,元大寶滬深
9,006203,元大MSCI台灣
10,006204,永豐臺灣加權
11,006205,富邦上証
12,006206,元大上證50
13,006207,FH滬深
14,006208,富邦台50
15,00625K,富邦上証+R
16,00631L,元大台灣50正2
17,00632R,元大台灣50反1
18,00633L,富邦上証正2
19,00634R,富邦上証反1
20,00635U,元大S&P黃金
21,00636,國泰中國A50
22,00636K,國泰中國A50+U
23,00637L,元大滬深300正2
24,00638R,元大滬深300反1
25,00639,富邦深100
26,00640L,富邦日本正2
27,00641R,富邦日本反1
28,00642U,元大S&P石油
29,00643,群益深証中小
30,00643K,群益深証中小+R
31,00645,富邦日本
32,00646,元大S&P500
33,00647L,元大S&P500正2
34,00648R,元大S&P500反1
35,00650L,FH香港正2
36,00651R,FH香港反1
37,00652,富邦印度
38,00653L,富邦印度正2
39,00654R,富邦印度反1
40,00655L,國泰中國A50正2
41,00656R,國泰中國A50反1
42,00657,國泰日經225
43,00657K,國泰日經225+U
44,00660,元大歐洲50
45,00661,元大日經225
46,00662,富邦NASDAQ
47,00663L,國泰臺灣加權正2
48,00664R,國泰臺灣加權反1
49,00665L,富邦恒生國企正2
50,00666R,富邦恒生國企反1
51,00668,國泰美國道瓊
52,00668K,國泰美國道瓊+U
53,00669R,國泰美國道瓊反1
54,00670L,富邦NASDAQ正2
55,00671R,富邦NASDAQ反1
56,00673R,元大S&P原油反1
57,00674R,元大S&P黃金反1
58,00675L,富邦臺灣加權正2
59,00676R,富邦臺灣加權反1
60,00677U,富邦VIX
61,00678,群益NBI生技
62,00680L,元大美債20正2
63,00681R,元大美債20反1
64,00682U,元大美元指數
65,00683L,元大美元指數正2
66,00684R,元大美元指數反1
67,00685L,群益臺灣加權正2
68,00686R,群益臺灣加權反1
69,00688L,國泰20年美債正2
70,00689R,國泰20年美債反1
71,00690,兆豐藍籌30
72,00692,富邦公司治理
73,00693U,街口S&P黃豆
74,00700,富邦恆生國企
75,00701,國泰股利精選30
76,00702,國泰標普低波高息
77,00703,台新MSCI中國
78,00706L,元大S&P日圓正2
79,00707R,元大S&P日圓反1
80,00708L,元大S&P黃金正2
81,00709,富邦歐洲
82,00710B,FH彭博高收益債
83,00711B,FH彭博新興債
84,00712,FH富時不動產
85,00713,元大台灣高息低波
86,00714,群益道瓊美國地產
87,00715L,街口S&P布蘭特油正2
88,00717,富邦美國特別股
89,00728,第一金工業30
90,00730,富邦臺灣優質高息
91,00731,FH富時高息低波
92,00732,國泰RMB短期報酬
93,00733,富邦臺灣中小
94,00735,國泰臺韓科技
95,00736,國泰新興市場
96,00737,國泰AI+ROBO
97,00738U,元大道瓊白銀
98,00739,元大MSCI A股
99,00742,新光內需收益
100,00743,國泰中國A150
101,00752,中信中國50
